model,pathway,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Natural gas CHP|400MW electrical,GWh/year,963,1821,2328,1643,541,491,185
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Natural gas CHP|100MW electrical,GWh/year,2248,4248,5431,3833,1262,1145,431
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Natural gas PPT,GWh/year,20726,4126,12157,7936,5872,631,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Oil CHP,GWh/year,564,1233,475,75,0,0,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Oil PPT,GWh/year,801,0,81,37,27,0,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Coal gas,GWh/year,73,0,0,0,0,0,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Gaseous fuel|Hydrogen|Domestic|Electrolysis,GWh/year,0,0,0,622,9536,9855,27849
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Efficiency|Gaseous fuel|Hydrogen|Domestic|Electrolysis,%,61,63,66,68,70,73,75
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Nuclear|Boiling water reactor,GWh/year,41459,14151,12687,13522,0,0,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Import,GWh/year,3666,16188,7694,8593,20630,21979,26802
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Run-of-river hydro,GWh/year,72,91,91,91,91,91,91
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Reservoir,GWh/year,230,287,287,28711,287,287,287
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Photovoltaic|570kWp open ground,GWh/year,1479,5630,6041,8973,11831,14575,20843
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Photovoltaic|3kWp single-Si,GWh/year,2958,11260,12082,17946,23663,29151,41686
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Photovoltaic|3kWp multi-Si,GWh/year,1479,5630,6041,8973,11831,14575,20843
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Wind turbines|Offshore,GWh/year,8015,16097,16383,17139,28582,28608,28608
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Wind turbines|Onshore|1-3MW,GWh/year,4356,6909,8925,16066,21984,28370,30671
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Wind turbines|Onshore|<1MW,GWh/year,100,159,205,369,505,652,705
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Wind turbines|Onshore|>3MW,GWh/year,501,794,1026,1847,2527,3261,3525
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Medium to high,GWh/year,1,1,1,1,1,1,1
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Low to medium,GWh/year,1,1,1,1,1,1,1
